machine_id,time_stamp,cpu_util,memory_util
079,239890,17.0,90
079,239900,19.0,90
079,239970,16.0,92
079,239990,17.0,92
079,240070,15.0,92
079,240090,12.0,91
079,240160,15.0,90
079,240200,11.0,90
079,240240,13.0,90
079,240330,11.0,90
079,240590,16.0,93
079,240620,12.0,93
079,240640,17.0,94
079,240650,19.0,93
079,240700,17.0,94
079,240830,10.0,94
079,240870,16.0,93
079,240890,28.0,93
079,240970,23.0,90
079,241020,12.0,90
079,241160,12.0,91
079,241250,18.0,92
079,241260,16.0,92
079,241500,30.0,95
079,241770,23.0,90
079,241800,21.0,90
079,241820,17.0,89
079,241830,19.0,90
079,242010,25.0,91
079,242070,32.0,90
079,242160,32.0,91
079,242280,19.0,90
079,242340,18.0,90
079,242670,20.0,90
079,242780,19.0,90
079,242970,13.0,88
079,243010,17.0,89
079,243020,17.0,89
079,243060,22.0,90
079,243080,16.0,90
079,243120,22.0,90
079,243350,19.0,89
079,243360,19.0,89
079,243450,23.0,90
079,243550,29.0,90
079,243610,19.0,91
079,243670,13.0,89
079,243680,12.0,89
079,243700,13.0,89
079,243720,13.0,89
079,243770,18.0,91
079,243890,19.0,90
079,244050,27.0,91
079,244130,21.0,91
079,244190,24.0,92
079,244220,19.0,91
079,244250,25.0,92
079,244470,21.0,93
079,244490,23.0,94
079,244700,22.0,95
079,244710,29.0,94
079,244770,18.0,93
079,244840,30.0,93
079,245060,28.0,95
079,245140,27.0,95
079,245230,43.0,92
079,245490,38.0,91
079,245500,37.0,91
079,245760,19.0,93
079,245910,26.0,93
079,246080,19.0,92
079,246100,18.0,91
079,246110,21.0,92
079,246250,22.0,91
079,246290,16.0,91
079,246340,22.0,91
079,246490,24.0,92
079,246510,18.0,92
079,246590,18.0,91
079,246650,26.0,92
079,246840,11.0,90
079,246870,16.0,92
079,246930,20.0,91
079,247100,20.0,93
079,247150,22.0,94
079,247490,20.0,94
079,247700,15.0,91
079,247810,23.0,92
079,247910,28.0,92
079,248060,20.0,93
079,248130,21.0,93
079,248150,21.0,93
079,248440,17.0,92
079,248520,22.0,92
079,248540,24.0,92
079,248760,38.0,94
079,248860,20.0,91
079,248910,31.0,91
079,248970,19.0,91
079,249120,23.0,89
079,249210,21.0,90
079,249220,18.0,90
079,249270,13.0,90
079,249560,28.0,93
079,249670,29.0,98
079,249730,33.0,96
079,249760,32.0,94
079,249880,15.0,91
079,249890,15.0,91
079,249910,21.0,91
079,249960,14.0,90
079,250020,12.0,90
079,250250,23.0,92
079,250290,24.0,93
