machine_id,time_stamp,cpu_util,memory_util,megps,mkpi,in_net,out_net,disk_io
2079,184170,25.0,89,-1.11,-1.11,35.83,25.2,5
2079,184240,25.0,88,-1.11,-1.11,35.83,25.2,9
2079,184330,27.0,88,-1.11,-1.11,35.84,25.2,3
2079,184410,28.0,88,-1.11,-1.11,35.84,25.2,4
2079,184480,26.0,87,-1.11,-1.11,35.84,25.2,4
2079,184500,19.0,85,-1.11,-1.11,35.84,25.2,4
2079,184580,33.0,87,-1.11,-1.11,35.84,25.2,3
2079,184610,31.0,87,-1.11,-1.11,35.84,25.2,3
2079,184620,32.0,87,-1.11,-1.11,35.84,25.2,2
2079,184690,26.0,86,-1.11,-1.11,35.85,25.2,3
2079,185290,27.0,86,-1.11,-1.11,35.85,25.21,3
2079,185300,24.0,86,-1.11,-1.11,35.85,25.21,3
2079,185320,20.0,86,-1.11,-1.11,35.85,25.21,3
2079,185340,19.0,85,-1.11,-1.11,35.85,25.21,2
2079,185350,20.0,85,-1.11,-1.11,35.85,25.21,2
2079,185460,18.0,87,-1.11,-1.11,35.86,25.21,2
2079,185570,24.0,88,-1.11,-1.11,35.86,25.21,2
2079,185610,21.0,88,-1.11,-1.11,35.86,25.21,2
2079,185670,23.0,87,-1.11,-1.11,35.86,25.21,2
2079,185830,28.0,88,-1.11,-1.11,35.86,25.21,3
2079,186020,31.0,90,-1.11,-1.11,35.87,25.21,4
2079,186080,26.0,89,-1.11,-1.11,35.87,25.21,3
2079,186110,22.0,88,-1.11,-1.11,35.87,25.22,3
2079,186190,31.0,88,-1.11,-1.11,35.87,25.22,2
2079,186340,20.0,87,-1.11,-1.11,35.87,25.22,6
2079,186440,15.0,85,-1.11,-1.11,35.88,25.22,3
2079,186550,31.0,90,-1.11,-1.11,35.88,25.22,2
2079,186660,31.0,88,-1.11,-1.11,35.88,25.22,5
2079,186680,27.0,88,-1.11,-1.11,35.88,25.22,5
2079,186770,22.0,88,-1.11,-1.11,35.88,25.22,4
2079,187050,26.0,92,-1.11,-1.11,35.89,25.22,5
2079,187130,38.0,93,-1.11,-1.11,35.89,25.22,2
2079,187210,26.0,89,-1.11,-1.11,35.89,25.23,5
2079,187240,28.0,90,-1.11,-1.11,35.89,25.23,5
2079,187280,29.0,89,-1.11,-1.11,35.89,25.23,5
2079,187340,28.0,90,-1.11,-1.11,35.89,25.23,4
2079,187350,24.0,90,-1.11,-1.11,35.89,25.23,4
2079,187420,23.0,89,-1.11,-1.11,35.89,25.23,4
2079,187430,23.0,88,-1.11,-1.11,35.89,25.23,4
2079,187440,25.0,88,-1.11,-1.11,35.9,25.23,3
2079,187460,31.0,89,-1.11,-1.11,35.9,25.23,3
2079,187470,28.0,89,-1.11,-1.11,35.9,25.23,3
2079,187580,26.0,89,-1.11,-1.11,35.9,25.23,3
2079,187630,31.0,90,-1.11,-1.11,35.9,25.23,3
2079,187870,36.0,93,-1.11,-1.11,35.91,25.23,4
2079,188290,40.0,93,-1.11,-1.11,35.91,25.24,4
2079,188420,29.0,92,-1.11,-1.11,35.92,25.24,5
2079,188640,32.0,92,-1.11,-1.11,35.92,25.24,8
2079,188780,38.0,91,-1.11,-1.11,35.93,25.25,4
2079,189030,31.0,92,-1.11,-1.11,35.93,25.25,2
