time_stamp,machine_id,cpu_util,memory_util
230950,2096,33.0,94
231320,2096,28.0,95
231330,2096,33.0,94
231420,2096,42.0,95
231430,2096,38.0,95
231470,2096,27.0,95
231490,2096,41.0,96
231520,2096,32.0,95
231570,2096,32.0,94
231740,2096,32.0,95
231750,2096,33.0,95
231760,2096,23.0,95
231790,2096,31.0,96
231890,2096,31.0,95
231910,2096,51.0,95
232000,2096,21.0,95
232050,2096,33.0,95
232110,2096,29.0,95
232220,2096,21.0,96
232400,2096,31.0,93
232420,2096,33.0,93
232460,2096,29.0,93
232480,2096,32.0,93
232510,2096,34.0,93
232570,2096,24.0,91
232700,2096,33.0,92
232710,2096,24.0,91
232790,2096,37.0,92
232900,2096,34.0,92
232920,2096,23.0,92
232990,2096,27.0,92
233010,2096,24.0,92
233080,2096,32.0,94
233210,2096,33.0,93
233340,2096,29.0,91
233610,2096,28.0,91
233620,2096,25.0,91
233720,2096,30.0,91
233780,2096,36.0,92
233920,2096,36.0,92
233940,2096,26.0,93
233990,2096,27.0,92
234050,2096,38.0,94
234150,2096,43.0,94
234170,2096,30.0,95
234230,2096,41.0,95
234400,2096,33.0,95
234430,2096,36.0,94
234480,2096,30.0,94
234630,2096,39.0,94
234660,2096,65.0,95
234680,2096,54.0,94
234740,2096,52.0,95
234760,2096,36.0,95
234890,2096,41.0,96
235370,2096,36.0,95
235410,2096,32.0,95
235560,2096,23.0,95
235610,2096,21.0,94
235810,2096,49.0,94
235840,2096,44.0,94
235870,2096,31.0,94
236020,2096,32.0,95
236170,2096,26.0,94
236270,2096,17.0,94
236580,2096,28.0,93
236630,2096,28.0,94
236680,2096,20.0,94
236690,2096,30.0,94
236750,2096,33.0,94
236800,2096,38.0,95
236890,2096,33.0,95
237050,2096,41.0,97
237230,2096,35.0,96
237380,2096,22.0,96
237390,2096,33.0,96
237480,2096,23.0,97
237780,2096,33.0,97
237820,2096,32.0,97
237840,2096,32.0,96
237860,2096,25.0,96
237880,2096,25.0,95
237970,2096,24.0,95
238200,2096,19.0,95
